"","OPEID6","INSTNM","STATE","CONTROL","NOTWORKING","WORKING","MEAN_EARNINGS","MEDIAN_EARNINGS","PERCENT10_EARNINGS","PERCENT25_EARNINGS","PERCENT75_EARNINGS","PERCENT90_EARNINGS","MEDIAN_DEBT","NUM_DEBT","TUITION","DEFAULT2","YEAR"
"71",11864,"Mohave Community College","AZ",1,152,557,33000,27000,5400,14400,45700,68000,5250,1790,NA,0.11,2007
"72",21005,"Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division","AZ",3,447,1843,39100,36200,7700,21700,52300,71000,8000,8460,NA,0.077,2007
"73",1082,"Northern Arizona University","AZ",1,512,3991,46600,42900,10300,27000,59600,82700,7024.5,7096,NA,0.042,2007
"74",1937,"Ottawa University-Phoenix","AZ",2,82,734,46800,44100,10900,30600,59200,81700,9626,2209,NA,0.04,2007
"75",1078,"Phoenix College","AZ",1,364,1917,38600,35600,6800,18900,51700,71100,3750,1884,NA,0.123,2007
"76",26238,"Cortiva Institute-Scottsdale","AZ",3,24,115,34300,31600,8100,16800,45400,60800,6625,169,NA,0.056,2007
"77",20988,"University of Phoenix-Phoenix-Hohokam Campus","AZ",3,2466,25672,69800,62800,18400,40400,90300,121500,3750,230982,NA,0.072,2007
"78",7266,"Pima Community College","AZ",1,1051,4938,37000,32400,6300,17500,49000,72200,4625,4334,NA,0.057,2007
"79",22171,"Pima Medical Institute-Tucson","AZ",3,467,2254,32200,29600,5000,15800,42800,60700,5765.5,8232,NA,0.056,2007
"80",22171,"Pima Medical Institute-Albuquerque","NM",3,467,2254,32200,29600,5000,15800,42800,60700,5765.5,8232,NA,0.056,2007
"81",20653,"Prescott College","AZ",2,48,394,35900,36300,7700,18300,49100,62000,10500,590,NA,0.016,2007
"82",11689,"Refrigeration School Inc","AZ",3,61,327,47300,45500,7800,28000,63700,82000,6000,630,NA,0.07,2007
"83",21775,"Rio Salado College","AZ",1,96,407,38400,34000,4600,16000,51100,74100,3500,2750,NA,0.1,2007
"84",8304,"Scottsdale Community College","AZ",1,239,1065,42400,37400,6400,18000,57700,81000,3750,2282,NA,0.108,2007
"85",21466,"South Mountain Community College","AZ",1,104,608,31500,30300,7300,17300,42800,54600,3500,265,NA,0.113,2007
"86",4467,"Tucson College","AZ",3,93,336,26300,24900,4300,12200,35400,46500,5888,925,NA,0.162,2007
"87",8221,"Universal Technical Institute of Arizona Inc","AZ",3,413,4656,48700,46700,12800,29800,64500,83900,6971,12207,NA,0.065,2007
"88",21715,"Western International University","AZ",3,34,299,65500,59800,21500,39300,82700,119800,10375,19326,NA,0.274,2007
"89",1079,"Yavapai College","AZ",1,215,792,37300,31300,5200,16100,50300,74600,3313,564,NA,0.135,2007
"90",1101,"University of Arkansas at Little Rock","AR",1,306,2021,40200,36900,9300,22900,51900,71600,6380,5483,NA,0.069,2007
"91",1109,"University of Arkansas for Medical Sciences","AR",1,18,329,71400,65500,18400,44500,99700,127500,10500,832,NA,0.002,2007
"92",1088,"Lyon College","AR",2,14,145,43100,37000,13100,24600,52000,80300,9050,181,NA,0.017,2007
"93",1108,"University of Arkansas","AR",1,308,2855,49500,43400,11600,27300,63400,88300,8375.5,4700,NA,0.023,2007
"94",1086,"University of Arkansas at Pine Bluff","AR",1,129,1026,33600,29200,6700,17100,43000,60000,7267.5,1886,NA,0.154,2007
"95",1091,"Arkansas State University-Beebe","AR",1,33,183,28800,27300,4200,12100,39100,51600,2625,1345,NA,0.092,2007
"96",1090,"Arkansas State University-Main Campus","AR",1,456,3327,37400,34300,8500,20600,48100,67200,5500,6444,NA,0.077,2007
"97",1089,"Arkansas Tech University","AR",1,134,1134,38800,36300,9700,22200,49700,69400,6620,2791,NA,0.089,2007
"98",1085,"University of Arkansas at Monticello","AR",1,97,764,36300,33100,10300,21000,48300,66200,3500,1760,NA,0.115,2007
"99",20522,"Black River Technical College","AR",1,61,271,28600,27500,5500,14600,38200,51200,2624,763,NA,0.127,2007
"100",1092,"University of Central Arkansas","AR",1,232,2070,43500,39200,11000,25000,55700,78100,6969,4980,NA,0.069,2007
"101",1093,"Central Baptist College","AR",2,23,141,33500,29800,7100,18000,46300,63100,6500,275,NA,0.078,2007
"102",1095,"Crowley's Ridge College","AR",2,18,103,29800,25800,7000,15700,39700,57600,6124,97,NA,0.064,2007
"103",12260,"East Arkansas Community College","AR",1,79,423,27300,22600,5300,12500,37600,53200,1511,252,NA,0.102,2007
"104",22724,"Eastern College of Health Vocations-Little Rock","AR",3,125,588,21800,19600,3200,10600,30600,40700,2877,767,NA,0.139,2007
"105",12105,"National Park Community College","AR",1,102,440,31500,27900,3900,14600,44400,62300,3500,575,NA,0.13,2007
"106",20735,"University of Arkansas Community College-Batesville","AR",1,82,294,25400,23100,3600,11600,33200,50500,3325,709,NA,0.138,2007
